,gold_label
0,contradiction
1,neutral
2,contradiction
3,contradiction
4,neutral
5,neutral
6,contradiction
7,entailment
8,contradiction
9,entailment
10,entailment
11,entailment
12,entailment
13,contradiction
14,contradiction
15,contradiction
16,entailment
17,entailment
18,contradiction
19,entailment
20,contradiction
21,contradiction
22,neutral
23,contradiction
24,contradiction
25,entailment
26,neutral
27,entailment
28,neutral
29,entailment
30,neutral
31,neutral
32,neutral
33,entailment
34,entailment
35,entailment
36,contradiction
37,entailment
38,neutral
39,contradiction
40,entailment
41,neutral
42,neutral
43,contradiction
44,entailment
45,neutral
46,contradiction
47,contradiction
48,entailment
49,contradiction
50,neutral
51,entailment
52,neutral
53,neutral
54,entailment
55,contradiction
56,neutral
57,entailment
58,neutral
59,contradiction
60,entailment
61,contradiction
62,neutral
63,neutral
64,neutral
65,neutral
66,contradiction
67,contradiction
68,neutral
69,contradiction
70,contradiction
71,contradiction
72,contradiction
73,contradiction
74,entailment
75,contradiction
76,entailment
77,contradiction
78,contradiction
79,neutral
80,neutral
81,contradiction
82,entailment
83,entailment
84,entailment
85,entailment
86,neutral
87,contradiction
88,contradiction
89,contradiction
90,contradiction
91,contradiction
92,entailment
93,contradiction
94,entailment
95,neutral
96,contradiction
97,neutral
98,entailment
99,contradiction
100,entailment
101,contradiction
102,entailment
103,neutral
104,contradiction
105,entailment
106,neutral
107,contradiction
108,contradiction
109,neutral
110,entailment
111,entailment
112,contradiction
113,contradiction
114,contradiction
115,entailment
116,neutral
117,contradiction
118,entailment
119,entailment
120,contradiction
121,neutral
122,contradiction
123,contradiction
124,neutral
125,entailment
126,entailment
127,entailment
128,entailment
129,contradiction
130,neutral
131,contradiction
132,neutral
133,neutral
134,entailment
135,contradiction
136,entailment
137,contradiction
138,entailment
139,entailment
140,contradiction
141,entailment
142,contradiction
143,entailment
144,contradiction
145,contradiction
146,entailment
147,neutral
148,entailment
149,contradiction
150,entailment
151,neutral
152,neutral
153,contradiction
154,contradiction
155,neutral
156,contradiction
157,contradiction
158,neutral
159,entailment
160,neutral
161,neutral
162,neutral
163,contradiction
164,entailment
165,neutral
166,contradiction
167,contradiction
168,entailment
169,entailment
170,contradiction
171,neutral
172,neutral
173,entailment
174,entailment
175,contradiction
176,entailment
177,contradiction
178,entailment
179,entailment
180,neutral
181,neutral
182,neutral
183,neutral
184,contradiction
185,contradiction
186,entailment
187,contradiction
188,entailment
189,neutral
190,entailment
191,entailment
192,entailment
193,neutral
194,neutral
195,contradiction
196,neutral
197,contradiction
198,entailment
199,neutral
200,neutral
201,contradiction
202,entailment
203,neutral
204,contradiction
205,entailment
206,neutral
207,contradiction
208,contradiction
209,entailment
210,neutral
211,entailment
212,contradiction
213,neutral
214,entailment
215,entailment
216,neutral
217,entailment
218,contradiction
219,entailment
220,contradiction
221,neutral
222,contradiction
223,contradiction
224,entailment
225,neutral
226,neutral
227,entailment
228,neutral
229,neutral
230,entailment
231,neutral
232,neutral
233,contradiction
234,entailment
235,entailment
236,neutral
237,contradiction
238,contradiction
239,neutral
240,entailment
241,entailment
242,entailment
243,entailment
244,contradiction
245,entailment
246,contradiction
247,contradiction
248,entailment
249,neutral
250,neutral
251,neutral
252,entailment
253,neutral
254,neutral
255,contradiction
256,neutral
257,contradiction
258,entailment
259,neutral
260,contradiction
261,entailment
262,entailment
263,contradiction
264,neutral
265,neutral
266,contradiction
267,neutral
268,neutral
269,entailment
270,entailment
271,contradiction
272,contradiction
273,contradiction
274,entailment
275,entailment
276,contradiction
277,contradiction
278,neutral
279,neutral
280,entailment
281,entailment
282,neutral
283,neutral
284,contradiction
285,contradiction
286,entailment
287,entailment
288,contradiction
289,neutral
290,entailment
291,contradiction
292,contradiction
293,entailment
294,entailment
295,entailment
296,contradiction
297,entailment
298,entailment
299,contradiction
300,contradiction
301,neutral
302,contradiction
303,contradiction
304,neutral
305,neutral
306,neutral
307,contradiction
308,contradiction
309,entailment
310,entailment
311,entailment
312,entailment
313,neutral
314,entailment
315,contradiction
316,neutral
317,neutral
318,entailment
319,neutral
320,neutral
321,entailment
322,contradiction
323,entailment
324,entailment
325,entailment
326,entailment
327,neutral
328,contradiction
329,neutral
330,contradiction
331,neutral
332,neutral
333,entailment
334,contradiction
335,neutral
336,entailment
337,contradiction
338,entailment
339,entailment
340,entailment
341,contradiction
342,entailment
343,contradiction
344,entailment
345,entailment
346,neutral
347,neutral
348,entailment
349,neutral
350,entailment
351,contradiction
352,entailment
353,entailment
354,entailment
355,contradiction
356,entailment
357,entailment
358,neutral
359,contradiction
360,neutral
361,contradiction
362,contradiction
363,entailment
364,contradiction
365,neutral
366,contradiction
367,neutral
368,contradiction
369,neutral
370,neutral
371,entailment
372,entailment
373,entailment
374,contradiction
375,entailment
376,neutral
377,entailment
378,neutral
379,contradiction
380,neutral
381,contradiction
382,contradiction
383,contradiction
384,contradiction
385,contradiction
386,entailment
387,entailment
388,entailment
389,neutral
390,contradiction
391,entailment
392,contradiction
393,entailment
394,entailment
395,entailment
396,entailment
397,entailment
398,neutral
399,neutral
400,entailment
401,entailment
402,entailment
403,entailment
404,entailment
405,neutral
406,contradiction
407,neutral
408,entailment
409,entailment
410,entailment
411,neutral
412,neutral
413,contradiction
414,contradiction
415,entailment
416,entailment
417,entailment
418,neutral
419,contradiction
420,entailment
421,neutral
422,contradiction
423,contradiction
424,contradiction
425,contradiction
426,neutral
427,entailment
428,contradiction
429,neutral
430,neutral
431,neutral
432,entailment
433,contradiction
434,entailment
435,contradiction
436,entailment
437,entailment
438,contradiction
439,entailment
440,entailment
441,contradiction
442,contradiction
443,entailment
444,entailment
445,neutral
446,neutral
447,entailment
448,neutral
449,contradiction
450,neutral
451,entailment
452,entailment
453,contradiction
454,entailment
455,neutral
456,neutral
457,entailment
458,entailment
459,contradiction
460,entailment
461,contradiction
462,contradiction
463,neutral
464,entailment
465,contradiction
466,contradiction
467,entailment
468,entailment
469,neutral
470,entailment
471,entailment
472,entailment
473,contradiction
474,neutral
475,contradiction
476,contradiction
477,contradiction
478,contradiction
479,neutral
480,neutral
481,contradiction
482,neutral
483,neutral
484,neutral
485,neutral
486,neutral
487,entailment
488,entailment
489,contradiction
490,contradiction
491,contradiction
492,entailment
